0.5,1,1000000,10,1,1.7126252376007456,2.0
0.9,1,1000000,10,1,4.207251161326815,10.000000000000002
0.95,1,1000000,10,1,6.167922189243172,19.999999999999982
0.99,1,1000000,10,1,18.46431138750904,99.99999999999991
0.5,1,1000000,10,2,1.2743730403073716,2.0
0.9,1,1000000,10,2,2.3268136438891256,10.000000000000002
0.95,1,1000000,10,2,2.846505951292878,19.999999999999982
0.99,1,1000000,10,2,4.521078777212497,99.99999999999991
0.5,1,1000000,10,5,1.0628199032373808,2.0
0.9,1,1000000,10,5,1.8738883051652246,10.000000000000002
0.95,1,1000000,10,5,2.366882289791965,19.999999999999982
0.99,1,1000000,10,5,4.005819709037938,99.99999999999991
0.5,1,1000000,10,10,1.0243226123283489,2.0
0.9,1,1000000,10,10,1.7300855534885213,10.000000000000002
0.95,1,1000000,10,10,2.2272725138998744,19.999999999999982
0.99,1,1000000,10,10,4.054134671666966,99.99999999999991
